type,udc_id,gen_id,name,resource_name,bus_id
GEN,SCE,ARBWD_6_QF,Wind Resource II,ARBWIND_6_N001,24457_ARBWIND _66.0_GUQF
GEN,SCE,ARCOGN_2_UNITS,WATSON COGENERATION,ARCO1G_7_B1,24011_ARCO  1G_13.8_GU1
GEN,SCE,ASTORA_2_SOLAR1,Astoria 1,ASTORIA1_7_N001,29415_ASTORIA1_34.5_GU1
GEN,SCE,ASTORA_2_SOLAR2,Astoria 2,ASTORIA2_7_N001,29416_ASTORIA2_34.5_GU2
GEN,PGAE,ATWELL_1_SOLAR,Atwell Island PV Solar Generating Faci.,ATWELL_1_N001,34427_ATWELL  _115_GU1
GEN,PGAE,AVENAL_6_AVPARK,Avenal Park Solar Project,AVENAL_6_GN001,34546_AVENAL  _70.0_GUS1
GEN,PGAE,AVENAL_6_SANDDG,Sand Drag Solar Project,AVENAL_6_GN002,34546_AVENAL  _70.0_GUS2
GEN,PGAE,AVENAL_6_SUNCTY,Sun City Solar Project,AVENAL_6_GN003,34546_AVENAL  _70.0_GUS3
GEN,PGAE,AVENAL_6_AVSLR1,Avenal Solar 1,AVENGEN_7_N001,34547_AVEN GEN_21.0_GUS1
GEN,PGAE,AVENAL_6_AVSLR2,Avenal Solar 2,AVENGEN_7_N002,34547_AVEN GEN_21.0_GUS2
TG,SDGE,ARLVAL_5_SOLAR,Arlington Valley Solar Energy II,AVLYSLR_7_N005,N/A
GEN,SCE,AVSOLR_2_SOLAR,AV SOLAR RANCH 1,AVSOLAR_7_N008,29410_AVSOLAR _34.5_GU1
GEN,PGAE,BDGRCK_1_UNITS,BADGER CREEK LIMITED,BADGERCK_7_N001,34727_BADGERCK_13.8_GU1
GEN,PGAE,BASICE_2_UNITS,CALPINE  AMERICAN  I COGEN.,BAFCOG12_7_B1,36202_BAFCOG12_13.8_GU1
GEN,PGAE,BALCHS_7_UNIT 1,BALCH 1 PH UNIT 1,BALCH1_7_B2,34624_BALCH 1 _13.2_GU1
GEN,PGAE,BANGOR_6_HYDRO,Virginia Ranch Dam Powerplant,BANGOR_6_N004,31658_BANGOR  _60.0_GUM1
GEN,SCE,BARRE_6_PEAKER,Barre Peaker,BARPKGEN_7_B1,28309_BARPKGEN_13.8_GUPK
GEN,SCE,BARRE_2_QF,BARRE QFS,BARRE_2_N043,24016_BARRE   _230_GUM1
GEN,PGAE,BUCKCK_2_HYDRO,Lassen Station Hydro,BCKSCRK_2_N004,30265_BCKS CRK_230_GUM1
GEN,PGAE,BUCKCK_7_OAKFLT,Oak Flat,BCKSCRK_7_N002,31820_BCKS CRK_11.0_GUM1
GEN,SCE,BIGCRK_7_MAMRES,MAMMOTH POOL RESERVOIR (FISHWATER,BCRK1-2_1_N003,24307_B CRK1-2_13.2_GUM2
GEN,SCE,BIGCRK_7_DAM7,DAM 7 AT BIG CREEK (FISHWATER GEN),BCRK1-2_1_N004,24307_B CRK1-2_13.2_GUM1
GEN,SDGE,LARKSP_6_UNIT 1,LARKSPUR PEAKER UNIT 1,BDLRKSP1_7_B1,22074_BDLRKSP1_13.8_GU1
GEN,SDGE,LARKSP_6_UNIT 2,LARKSPUR PEAKER UNIT 2,BDLRKSP2_7_B1,22075_BDLRKSP2_13.8_GU2
GEN,PGAE,TKOPWR_2_UNIT,TKO POWER,BEARCRK_6_N001,31589_BEAR CRK_60.0_GU1
GEN,PGAE,TKOPWR_6_HYDRO,Bear Creek Hydroelectric Project,BEARCRK_6_N010,31589_BEAR CRK_60.0_GUh1
GEN,NCPA,BEARDS_7_UNIT 1,Beardsley Hydro,BEARDSLY_7_B1,34074_BEARDSLY_ 6.9_GU1
GEN,PGAE,BELDEN_7_UNIT 1,BELDEN HYDRO,BELDEN_7_B1,31784_BELDEN  _13.8_GU1
GEN,SDGE,ESCNDO_6_EB1BT1,Escondido BESS 1,BESSGEN_7_N001,99003_BESS GEN_12.0_GU1
GEN,SDGE,ESCNDO_6_EB2BT2,Escondido BESS 2,BESSGEN_7_N002,99003_BESS GEN_12.0_GU2
