,APLHIL_1_SLABCK,GEN,SLAB CREEK HYDRO,1,HYDRO,WATER,NP15,CISO,PGAE
,ARCOGN_2_UNITS,GEN,WATSON COGENERATION,416.6,COMBINED CYCLE,NATURAL GAS,SP15,CISO,SCE
,ARKANS_1_ARKSLR,TG,SG Arkansas,50,PHOTO VOLTAIC,SUN,SP15,IID,SDGE
,ARLINT_5_SCEDYN,TG,Arlington Valley CC,565,COMBINED CYCLE,NATURAL GAS,SP15,AZPS,SCE
,ARLVAL_5_SOLAR,TG,Arlington Valley Solar Energy II,127,PHOTO VOLTAIC,SUN,SP15,SRP,SDGE
,ARVINN_6_ORION1,GEN,Orion 1 Solar,12,PHOTO VOLTAIC,SUN,ZP26,CISO,PGAE
,ARVINN_6_ORION2,GEN,Orion 2 Solar,8,PHOTO VOLTAIC,SUN,ZP26,CISO,PGAE
,ASTORA_2_SOLAR1,GEN,Astoria 1,100,PHOTO VOLTAIC,SUN,SP15,CISO,SCE
,ASTORA_2_SOLAR2,GEN,Astoria 2,75,PHOTO VOLTAIC,SUN,SP15,CISO,SCE
,ATWEL2_1_SOLAR1,GEN,Atwell West,20,PHOTO VOLTAIC,SUN,ZP26,CISO,PGAE
,ATWELL_1_SOLAR,GEN,Atwell Island PV Solar Generating Faci.,20,PHOTO VOLTAIC,SUN,ZP26,CISO,PGAE
,AVENAL_6_AVPARK,GEN,Avenal Park Solar Project,6,PHOTO VOLTAIC,SUN,ZP26,CISO,PGAE
,AVENAL_6_AVSLR1,GEN,Avenal Solar 1,7.9,PHOTO VOLTAIC,SUN,ZP26,CISO,PGAE
,AVENAL_6_AVSLR2,GEN,Avenal Solar 2,7.9,PHOTO VOLTAIC,SUN,ZP26,CISO,PGAE
,AVENAL_6_SANDDG,GEN,Sand Drag Solar Project,19,PHOTO VOLTAIC,SUN,ZP26,CISO,PGAE
,AVENAL_6_SUNCTY,GEN,Sun City Solar Project,20,PHOTO VOLTAIC,SUN,ZP26,CISO,PGAE
,AVSOLR_2_SOLAR,GEN,AV SOLAR RANCH 1,241.5,PHOTO VOLTAIC,SUN,SP15,CISO,SCE
